sample_id,DACH1_expr,burden_index,CADM1_meth,ESR1_meth,SLIT2_meth,EDNRB_meth
TCGA-DR-A0ZM-01,5.4054,0.21735714285714286,0.4252,0.8787,0.5513,0.5478
TCGA-DS-A0VK-01,18.5107,0.27317142857142857,0.6348,0.8513,0.5252,0.5459
TCGA-DS-A0VL-01,11.3273,0.15067142857142857,0.3057,0.9475,0.1857,0.6804
TCGA-DS-A0VM-01,7.0906,0.3370285714285715,0.7118,0.4681,0.702,0.674
TCGA-DS-A0VN-01,8.094,0.2669142857142857,0.6119,0.9401,0.4046,0.4978
TCGA-DS-A1O9-01,22.9807,0.4394857142857143,0.6368,0.5236,0.4689,0.5649
TCGA-DS-A1OA-01,11.8366,0.1979714285714286,0.7277,0.4311,0.5268,0.6803
TCGA-DS-A1OB-01,18.6423,0.30432857142857145,0.0995,0.7589,0.352,0.5909
TCGA-DS-A1OC-01,40.1163,0.4951142857142858,0.5063,0.7556,0.6854,0.6541
TCGA-DS-A1OD-01,36.1764,0.2822142857142857,0.4819,0.8701,0.5935,0.5232
TCGA-DS-A3LQ-01,36.2584,0.42748571428571436,0.5146,0.9279,0.4308,0.5525
TCGA-DS-A5RQ-01,46.3068,0.1808,0.5676,0.9031,0.6066,0.6364
TCGA-DS-A7WI-01,4.4053,0.34082857142857137,0.7204,0.9272,0.1021,0.8032
TCGA-EA-A1QS-01,48.1283,0.30455714285714286,0.1479,0.7277,0.5024,0.3261
TCGA-EA-A1QT-01,6.3105,0.3395714285714285,0.8463,0.9402,0.839,0.7786
TCGA-EA-A3HQ-01,37.0922,0.30182857142857145,0.6004,0.2912,0.7281,0.731
TCGA-EA-A3HR-01,287.1824,0.21302857142857143,0.2488,0.8878,0.6095,0.7328
TCGA-EA-A3HS-01,92.0782,0.29932857142857144,0.3053,0.8195,0.7231,0.7169
TCGA-EA-A3HT-01,10.1222,0.2190142857142857,0.3967,0.7968,0.104,0.5628
TCGA-EA-A3HU-01,23.4375,0.29380000000000006,0.1321,0.9292,0.1168,0.5642
TCGA-EA-A3QD-01,16.9242,0.4445428571428572,0.4735,0.9349,0.5942,0.6507
TCGA-EA-A3QE-01,13.4021,0.3377857142857143,0.205,0.8998,0.4991,0.3268
TCGA-EA-A3Y4-01,16.2119,0.31301428571428574,0.5559,0.8789,0.6072,0.5129
TCGA-EA-A410-01,888.5325,0.2582,0.0422,0.2867,0.0998,0.0512
TCGA-EA-A411-01,111.4528,0.24928571428571428,0.4248,0.7334,0.2176,0.3425
TCGA-EA-A439-01,74.2809,0.33895714285714285,0.5902,0.8067,0.0974,0.5925
TCGA-EA-A43B-01,14.9966,0.30378571428571427,0.3397,0.9078,0.3876,0.5122
TCGA-EA-A44S-01,16.9416,0.2540428571428571,0.0725,0.9117,0.0872,0.6004
TCGA-EA-A50E-01,25.5247,0.4448285714285714,0.429,0.9259,0.6065,0.5086
TCGA-EA-A5FO-01,13.0168,0.18624285714285715,0.4896,0.7151,0.1086,0.8794
TCGA-EA-A5O9-01,3.2077,0.35937142857142856,0.7871,0.951,0.7469,0.8493
TCGA-EA-A5ZD-01,16.3639,0.28377142857142856,0.126,0.9193,0.4597,0.4842
TCGA-EA-A5ZE-01,61.3599,0.30604285714285717,0.6087,0.9176,0.672,0.6368
TCGA-EA-A5ZF-01,220.2136,0.17642857142857143,0.4859,0.6238,0.0658,0.7685
TCGA-EA-A6QX-01,4.3418,0.16765714285714287,0.6731,0.4505,0.7982,0.7134
TCGA-EA-A78R-01,6.4525,0.34761428571428565,0.3457,0.9299,0.4029,0.3698
TCGA-EA-A97N-01,11.846,0.14057142857142854,0.152,0.92,0.1948,0.6422
TCGA-EK-A2GZ-01,179.41,0.33558571428571426,0.4465,0.8691,0.0792,0.505
TCGA-EK-A2H0-01,1.7224,0.5144857142857143,0.6824,0.9415,0.7352,0.6562
TCGA-EK-A2H1-01,8.4405,0.3755571428571428,0.3722,0.9221,0.132,0.4032
TCGA-EK-A2IP-01,5.4439,0.36482857142857145,0.4931,0.9509,0.1163,0.8105
TCGA-EK-A2IR-01,67.6,0.36197142857142856,0.1002,0.9306,0.0842,0.708
TCGA-EK-A2PG-01,6.0092,0.29107142857142854,0.6847,0.8289,0.8156,0.8165
TCGA-EK-A2PI-01,26.7362,0.4469,0.4884,0.9123,0.0738,0.6992
TCGA-EK-A2PK-01,17.3254,0.40447142857142854,0.377,0.9049,0.0895,0.45
TCGA-EK-A2PL-01,3.937,0.4240714285714286,0.724,0.6432,0.3213,0.7338
TCGA-EK-A2PM-01,134.0178,0.3113428571428571,0.2959,0.6976,0.5414,0.7839
TCGA-EK-A2R7-01,149.677,0.2444714285714286,0.4067,0.8828,0.156,0.6672
TCGA-EK-A2R8-01,9.4933,0.30958571428571424,0.269,0.5126,0.0755,0.4133
TCGA-EK-A2R9-01,181.8353,0.24417142857142857,0.7224,0.4551,0.1001,0.7039
TCGA-EK-A2RA-01,4.6875,0.2761571428571428,0.6895,0.9184,0.6793,0.689
TCGA-EK-A2RB-01,2.7635,0.42001428571428573,0.7632,0.9189,0.804,0.6722
TCGA-EK-A2RC-01,109.7757,0.28157142857142853,0.1749,0.8947,0.1789,0.594
TCGA-EK-A2RE-01,1.6859,0.3352,0.049,0.9228,0.0903,0.8085
TCGA-EK-A2RJ-01,13.2002,0.36624285714285715,0.2197,0.7972,0.3008,0.313
TCGA-EK-A2RK-01,41.4545,0.31935714285714284,0.6961,0.5997,0.2867,0.7014
TCGA-EK-A2RM-01,3.8476,0.20677142857142858,0.3114,0.8845,0.0616,0.7949
TCGA-EK-A2RN-01,4.7986,0.19474285714285713,0.061,0.743,0.1086,0.6418
TCGA-EK-A2RO-01,12.5902,0.2679714285714286,0.171,0.8963,0.1376,0.6461
TCGA-EK-A3GJ-01,3.252,0.3952428571428571,0.7284,0.9332,0.6899,0.7583
TCGA-EK-A3GN-01,0.6345,0.3485857142857142,0.634,0.8486,0.3571,0.6377
TCGA-EX-A1H5-01,7.3592,0.2873,0.6703,0.9278,0.5356,0.6928
TCGA-EX-A3L1-01,21.0546,0.38632857142857147,0.3671,0.9389,0.0824,0.3222
TCGA-EX-A69L-01,30.0501,0.30671428571428566,0.4542,0.8892,0.1181,0.5699
TCGA-EX-A69M-01,6.6376,0.4360428571428572,0.1792,0.9411,0.1234,0.6663
TCGA-EX-A8YF-01,11.1508,0.3160142857142857,0.1427,0.9182,0.1307,0.6439
TCGA-FU-A23K-01,63.7074,0.3552857142857143,0.6531,0.9227,0.1721,0.6381
TCGA-FU-A23L-01,52.3288,0.20711428571428575,0.1163,0.8301,0.1521,0.4764
TCGA-FU-A2QG-01,4.5724,0.33312857142857144,0.1205,0.8877,0.2089,0.8096
TCGA-FU-A3HY-01,3.3061,0.24644285714285716,0.608,0.9279,0.7056,0.7179
TCGA-FU-A3HZ-01,1545.504,0.2298571428571429,0.0926,0.2563,0.0878,0.1604
TCGA-FU-A3NI-01,27.9801,0.33552857142857145,0.4683,0.9226,0.6546,0.5549
TCGA-FU-A3TQ-01,12.6015,0.27728571428571425,0.1775,0.9391,0.0937,0.6078
TCGA-FU-A3TX-01,58.0766,0.20422857142857143,0.3019,0.6573,0.0641,0.8186
TCGA-FU-A3WB-01,125.0077,0.36607142857142855,0.1651,0.9385,0.0748,0.8731
TCGA-FU-A3YQ-01,31.8803,0.3958714285714286,0.3825,0.9119,0.4677,0.3587
TCGA-FU-A5XV-01,7.4758,0.3390142857142857,0.3269,0.9351,0.3363,0.6822
TCGA-GH-A9DA-01,5.4175,0.36475714285714284,0.7106,0.9388,0.3052,0.6588
TCGA-HG-A2PA-01,145.3655,0.3803142857142857,0.3134,0.8536,0.3845,0.2634
TCGA-HM-A3JJ-01,13.6111,0.3649571428571429,0.5179,0.879,0.4132,0.4878
TCGA-HM-A3JK-01,24.4267,0.2575571428571429,0.5411,0.8246,0.571,0.4464
TCGA-HM-A4S6-01,2.5554,0.2248857142857143,0.4525,0.9007,0.3489,0.4926
TCGA-IR-A3L7-01,51.0211,0.3303285714285714,0.7011,0.1977,0.7365,0.7735
TCGA-IR-A3LC-01,27.031,0.3887,0.6204,0.8219,0.7625,0.6916
TCGA-IR-A3LH-01,21.5912,0.33421428571428574,0.4201,0.7271,0.5215,0.4882
TCGA-IR-A3LK-01,3.5362,0.1283857142857143,0.0799,0.94,0.8047,0.8149
TCGA-IR-A3LL-01,1.1728,0.33791428571428567,0.4453,0.9423,0.5824,0.4334
TCGA-JW-A5VG-01,4.1734,0.2982714285714286,0.0743,0.9221,0.1289,0.577
TCGA-JW-A5VH-01,949.436,0.19740000000000002,0.047,0.3703,0.0812,0.0316
TCGA-JW-A5VI-01,10.032,0.4424,0.3941,0.9117,0.3351,0.5843
TCGA-JW-A5VJ-01,12.5101,0.22601428571428572,0.0702,0.8841,0.1281,0.3022
TCGA-JW-A5VK-01,81.6787,0.2369857142857143,0.8465,0.9459,0.8712,0.9059
TCGA-JW-A5VL-01,5.3102,0.14924285714285715,0.7855,0.9375,0.7797,0.766
TCGA-JW-A852-01,7.634,0.31052857142857143,0.3409,0.9333,0.8124,0.7123
TCGA-JW-AAVH-01,9.5694,0.14261428571428572,0.4866,0.9164,0.2435,0.8386
TCGA-JX-A3PZ-01,5.0505,0.3314428571428571,0.6118,0.5623,0.3788,0.4185
TCGA-JX-A3Q0-01,7.2797,0.12901428571428572,0.4728,0.6841,0.1106,0.7604
TCGA-JX-A5QV-01,1.8004,0.22538571428571427,0.0942,0.9445,0.1283,0.696
TCGA-LP-A4AU-01,22.0881,0.32345714285714283,0.2194,0.7358,0.1142,0.2764
TCGA-LP-A4AV-01,5.8431,0.38965714285714287,0.6364,0.8425,0.6714,0.5947
TCGA-LP-A4AW-01,23.9061,0.27459999999999996,0.4628,0.8641,0.4514,0.4446
TCGA-LP-A4AX-01,14.0698,0.39912857142857144,0.1572,0.9225,0.1493,0.2424
TCGA-LP-A5U3-01,11.236,0.20537142857142857,0.3655,0.933,0.802,0.8008
TCGA-MA-AA3W-01,5.4107,0.3135,0.3977,0.9238,0.54,0.3871
TCGA-MA-AA3X-01,10.1646,0.19404285714285716,0.5729,0.5585,0.5065,0.6521
TCGA-MA-AA3Y-01,10.2515,0.3731428571428572,0.1248,0.9285,0.5436,0.4555
TCGA-MA-AA3Z-01,1.4249,0.19560000000000002,0.4532,0.9095,0.6323,0.5917
TCGA-MA-AA41-01,3.4739,0.3256571428571428,0.4044,0.9174,0.72,0.6651
TCGA-MA-AA42-01,4.4161,0.4178285714285714,0.5792,0.6861,0.6407,0.5437
